,game_id,posteam,total_passing_yards,total_rushing_yards,passing_attempts,rushing_attempts,sacks_allowed,interceptions_thrown,fumbles_lost,home_team,away_team,total_home_score,total_away_score
46,2024_01_BAL_KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,KC,BAL,19,10
47,2024_01_BAL_KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,KC,BAL,20,10
48,2024_01_BAL_KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,KC,BAL,20,16
49,2024_01_BAL_KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,KC,BAL,20,17
50,2024_01_BAL_KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,KC,BAL,26,17
51,2024_01_BAL_KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,KC,BAL,27,17
52,2024_01_BAL_KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,KC,BAL,27,20
53,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,0,0
54,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,0,6
55,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,0,7
56,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,6,7
57,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,7,7
58,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,10,7
59,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,13,7
60,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,13,10
61,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,19,10
62,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,20,10
63,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,20,16
64,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,20,17
65,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,26,17
66,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,27,17
67,2024_01_BAL_KC,KC,281.0,73.0,30.0,20.0,2.0,1.0,0.0,KC,BAL,27,20
68,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,0,0
69,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,6,0
70,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,7,0
71,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,10,0
72,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,16,0
73,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,17,0
74,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,20,0
75,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,23,0
76,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,29,0
77,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,30,0
78,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,30,3
79,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,36,3
80,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,37,3
81,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,37,9
82,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,37,10
83,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,40,10
84,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,46,10
85,2024_01_CAR_NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,NO,CAR,47,10
86,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,0,0
87,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,6,0
88,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,7,0
89,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,10,0
90,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,16,0
91,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,17,0
92,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,20,0
93,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,23,0
94,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,29,0
95,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,30,0
96,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,30,3
97,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,36,3
98,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,37,3
99,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,37,9
100,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,37,10
