,game_id,home_team,away_team,total_passing_yards,total_rushing_yards,passing_attempts,rushing_attempts,sacks_allowed,interceptions_thrown,fumbles_lost,total_home_score,total_away_score,home_win
47,2024_01_BAL_KC,KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,20,10,1
48,2024_01_BAL_KC,KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,20,16,1
49,2024_01_BAL_KC,KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,20,17,1
50,2024_01_BAL_KC,KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,26,17,1
51,2024_01_BAL_KC,KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,27,17,1
52,2024_01_BAL_KC,KC,BAL,267.0,185.0,42.0,32.0,1.0,0.0,1.0,27,20,1
53,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,0,0,0
54,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,0,6,0
55,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,0,7,0
56,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,6,7,0
57,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,7,7,0
58,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,10,7,1
59,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,13,7,1
60,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,13,10,1
61,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,19,10,1
62,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,20,10,1
63,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,20,16,1
64,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,20,17,1
65,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,26,17,1
66,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,27,17,1
67,2024_01_BAL_KC,KC,BAL,281.0,73.0,30.0,20.0,2.0,1.0,0.0,27,20,1
68,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,0,0,0
69,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,6,0,1
70,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,7,0,1
71,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,10,0,1
72,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,16,0,1
73,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,17,0,1
74,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,20,0,1
75,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,23,0,1
76,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,29,0,1
77,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,30,0,1
78,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,30,3,1
79,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,36,3,1
80,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,37,3,1
81,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,37,9,1
82,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,37,10,1
83,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,40,10,1
84,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,46,10,1
85,2024_01_CAR_NO,NO,CAR,135.0,58.0,35.0,20.0,4.0,2.0,2.0,47,10,1
86,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,0,0,0
87,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,6,0,1
88,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,7,0,1
89,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,10,0,1
90,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,16,0,1
91,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,17,0,1
92,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,20,0,1
93,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,23,0,1
94,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,29,0,1
95,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,30,0,1
96,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,30,3,1
97,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,36,3,1
98,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,37,3,1
99,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,37,9,1
100,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,37,10,1
101,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,40,10,1
102,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,46,10,1
103,2024_01_CAR_NO,NO,CAR,199.0,180.0,25.0,37.0,1.0,0.0,0.0,47,10,1
104,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,0,0,0
105,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,3,0,1
106,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,3,6,0
107,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,3,7,0
108,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,3,13,0
109,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,3,14,0
110,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,3,17,0
111,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,3,20,0
112,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,3,26,0
113,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,3,27,0
114,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,9,27,0
115,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,10,27,0
116,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,10,30,0
117,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,10,33,0
118,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,16,33,0
119,2024_01_DAL_CLE,CLE,DAL,137.0,93.0,51.0,19.0,6.0,2.0,0.0,17,33,0
120,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,0,0,0
121,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,3,0,1
122,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,3,6,0
123,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,3,7,0
124,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,3,13,0
125,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,3,14,0
126,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,3,17,0
127,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,3,20,0
128,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,3,26,0
129,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,3,27,0
130,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,9,27,0
131,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,10,27,0
132,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,10,30,0
133,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,10,33,0
134,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,16,33,0
135,2024_01_DAL_CLE,CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,17,33,0
136,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,0,0,0
137,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,0,3,0
138,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,3,3,0
139,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,3,5,0
140,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,3,8,0
141,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,9,8,1
142,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,9,10,0
143,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,9,13,0
144,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,15,13,1
145,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,16,13,1
146,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,19,13,1
147,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,25,13,1
148,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,26,13,1
149,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,26,19,1
150,2024_01_DEN_SEA,SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,26,20,1
151,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,0,0,0
152,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,0,3,0
153,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,3,3,0
154,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,3,5,0
155,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,3,8,0
156,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,9,8,1
157,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,9,10,0
158,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,9,13,0
159,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,15,13,1
160,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,16,13,1
161,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,19,13,1
162,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,25,13,1
163,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,26,13,1
164,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,26,19,1
165,2024_01_DEN_SEA,SEA,DEN,158.0,150.0,28.0,33.0,2.0,1.0,0.0,26,20,1
166,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,0,0,0
167,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,0,3,0
