game_id,rush_attempt,pass_attempt,sack,passing_yards,rushing_yards,home_team,away_team,total_home_score,total_away_score,is_home_team,win
2024_02_PIT_DEN,36.0,22.0,2.0,117.0,141.0,DEN,PIT,6,13,False,1
2024_02_SEA_NE,36.0,30.0,3.0,149.0,185.0,NE,SEA,20,23,True,0
2024_02_SEA_NE,19.0,47.0,3.0,327.0,46.0,NE,SEA,20,23,False,1
2024_02_SF_MIN,24.0,30.0,4.0,268.0,146.0,MIN,SF,23,17,True,1
2024_02_SF_MIN,25.0,42.0,6.0,319.0,102.0,MIN,SF,23,17,False,0
2024_02_TB_DET,27.0,56.0,0.0,324.0,139.0,DET,TB,16,20,True,0
2024_02_TB_DET,23.0,24.0,5.0,185.0,70.0,DET,TB,16,20,False,1
2024_03_BAL_DAL,45.0,15.0,0.0,182.0,274.0,DAL,BAL,25,28,False,1
2024_03_BAL_DAL,16.0,56.0,3.0,379.0,51.0,DAL,BAL,25,28,True,0
2024_03_CAR_LV,31.0,40.0,2.0,319.0,131.0,LV,CAR,22,36,False,1
2024_03_CAR_LV,16.0,44.0,3.0,296.0,55.0,LV,CAR,22,36,True,0
2024_03_CHI_IND,28.0,57.0,4.0,363.0,63.0,IND,CHI,21,16,False,0
2024_03_CHI_IND,33.0,21.0,1.0,167.0,150.0,IND,CHI,21,16,True,1
2024_03_DEN_TB,28.0,36.0,0.0,216.0,136.0,TB,DEN,7,26,False,1
2024_03_DEN_TB,16.0,40.0,7.0,163.0,91.0,TB,DEN,7,26,True,0
2024_03_DET_ARI,18.0,35.0,1.0,207.0,77.0,ARI,DET,13,20,True,0
2024_03_DET_ARI,43.0,25.0,2.0,199.0,187.0,ARI,DET,13,20,False,1
2024_03_GB_TEN,37.0,22.0,3.0,202.0,188.0,TEN,GB,14,30,False,1
2024_03_GB_TEN,11.0,42.0,8.0,260.0,33.0,TEN,GB,14,30,True,0
2024_03_HOU_MIN,14.0,49.0,5.0,307.0,38.0,MIN,HOU,34,7,False,0
